scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB
Two-Locus Theory,0.1,42,0.013219411484660288,0.5990424698479169,0.02534626176163037
Two-Locus Theory,0.1,42,0.01519911082952933,0.5617437123242074,0.02618808188718827
Two-Locus Theory,0.1,42,0.01747528400007685,0.5572746998797696,0.026283579702885005
Two-Locus Theory,0.1,42,0.02009233002565048,0.5456880734071096,0.026526058699352227
Two-Locus Theory,0.1,42,0.023101297000831605,0.5824717106931157,0.02573034799333175
Two-Locus Theory,0.1,42,0.026560877829466867,0.549075930276033,0.026455915287491128
Two-Locus Theory,0.1,42,0.030538555088334154,0.5988047338626722,0.02535189001550715
Two-Locus Theory,0.1,42,0.03511191734215131,0.5340524549622232,0.02676229467331202
Two-Locus Theory,0.1,42,0.040370172585965536,0.544252369183895,0.026555597491941793
Two-Locus Theory,0.1,42,0.04641588833612782,0.5477500838985495,0.026483439934620906
Two-Locus Theory,0.1,42,0.05336699231206313,0.48316574628254977,0.0277143831915958
Two-Locus Theory,0.1,42,0.061359072734131756,0.45736734324685774,0.028149598809887617
Two-Locus Theory,0.1,42,0.07054802310718646,0.47148735067582176,0.027915196480443733
Two-Locus Theory,0.1,42,0.08111308307896872,0.5007312308781541,0.02740017835655803
Two-Locus Theory,0.1,42,0.093260334688322,0.4504264719672101,0.028261518363165757
Two-Locus Theory,0.1,42,0.10722672220103231,0.39330277789700685,0.029103383631049667
Two-Locus Theory,0.1,42,0.12328467394420659,0.4244153487581071,0.028662076704603516
Two-Locus Theory,0.1,42,0.14174741629268048,0.4298909774507275,0.028580192482050928
Two-Locus Theory,0.1,42,0.16297508346206452,0.4048647457805221,0.02894408502163356
Two-Locus Theory,0.1,42,0.1873817422860385,0.3586545171500134,0.029548488348056
Two-Locus Theory,0.1,42,0.21544346900318845,0.3380944191453558,0.0297903859984835
Two-Locus Theory,0.1,42,0.24770763559917114,0.3722609668538495,0.02937938169353511
Two-Locus Theory,0.1,42,0.2848035868435802,0.3711813186555338,0.029393066075995452
Two-Locus Theory,0.1,42,0.32745491628777285,0.3345717012531029,0.029830210519536805
Two-Locus Theory,0.1,42,0.37649358067924676,0.2538147355864673,0.0306178540392875
Two-Locus Theory,0.1,42,0.43287612810830617,0.28413739806205784,0.030349763678374667
Two-Locus Theory,0.1,42,0.49770235643321137,0.27106958686497074,0.03046929659751187
Two-Locus Theory,0.1,42,0.572236765935022,0.1922623867506512,0.0310638874716389
Two-Locus Theory,0.1,42,0.6579332246575682,0.21009706436488504,0.030947936491653855
Two-Locus Theory,0.1,42,0.7564633275546291,0.2139049574171722,0.03092178816237307
Two-Locus Theory,0.1,42,0.8697490026177834,0.19785876663601365,0.03102865552021324
Two-Locus Theory,0.1,42,1.0,0.16214978220631734,0.0312355369036898
Two-Locus Theory,0.1,42,1.1497569953977356,0.08973482750278644,0.03152674312066882
Two-Locus Theory,0.1,42,1.3219411484660286,0.1202142495052118,0.031424887929452604
Two-Locus Theory,0.1,42,1.5199110829529332,0.1390079737446711,0.03134712215451589
Two-Locus Theory,0.1,42,1.747528400007683,0.10562621164153539,0.031477368900848395
Two-Locus Theory,0.1,42,2.009233002565046,0.08122137209052253,0.031549863335182136
Two-Locus Theory,0.1,42,2.310129700083158,0.05559757727845188,0.031605485644844306
Two-Locus Theory,0.1,42,2.6560877829466896,0.06650220421482905,0.03158437275043857
Two-Locus Theory,0.1,42,3.0538555088334185,0.06146988186944373,0.03159458639390236
Two-Locus Theory,0.1,42,3.5111917342151346,0.04659757462204622,0.03162006202847667
Two-Locus Theory,0.1,42,4.037017258596558,0.013831172670200205,0.03165141897781497
Two-Locus Theory,0.1,42,4.641588833612782,0.021110491487805128,0.03164739265837377
Two-Locus Theory,0.1,42,5.336699231206313,0.024795186192318974,0.03164471479870012
Two-Locus Theory,0.1,42,6.135907273413176,0.025825530668487053,0.03164388903710282
Two-Locus Theory,0.1,42,7.054802310718645,0.023836310725146304,0.03164545306502018
Two-Locus Theory,0.1,42,8.111308307896872,0.04086350672830595,0.031628007137485654
Two-Locus Theory,0.1,42,9.326033468832199,-0.04362524673480891,0.03162431077369354
Two-Locus Theory,0.1,42,10.722672220103231,-0.016275594876477277,0.03165025406178864
Two-Locus Theory,0.1,42,12.32846739442066,0.003425144671659373,0.03165426121219318
Two-Locus Theory,0.1,42,14.174741629268048,0.0026459487844547307,0.03165433608434888
Two-Locus Theory,0.1,42,16.297508346206435,0.04227913030531392,0.031626142682004574
Two-Locus Theory,0.1,42,18.73817422860383,0.03455337397162652,0.031635544561562236
Two-Locus Theory,0.1,42,21.544346900318867,-0.023906624141177377,0.0316453999183793
Two-Locus Theory,0.1,42,24.77076355991714,-0.03184787954809627,0.03163838946508147
Two-Locus Theory,0.1,42,28.48035868435805,-0.05126189246571176,0.03161282904615525
Two-Locus Theory,0.1,42,32.745491628777316,-0.043236867107841664,0.03162484521689686
Two-Locus Theory,0.1,42,37.649358067924716,-0.04198296064714828,0.031626538015232686
Two-Locus Theory,0.1,42,43.287612810830616,-0.05486863096656722,0.03160676206371287
Two-Locus Theory,0.1,42,49.770235643321136,-0.018943034559938895,0.03164876696401213
Two-Locus Theory,0.1,42,57.223676593502205,0.004097978140239697,0.03165418109724268
Two-Locus Theory,0.1,42,65.79332246575683,0.017764435652500476,0.031649451818740904
Two-Locus Theory,0.1,42,75.64633275546291,-0.02315943112461292,0.03164595667534448
Two-Locus Theory,0.1,42,86.97490026177834,0.005917359526707409,0.03165389269429014
Two-Locus Theory,0.1,42,100.0,0.016421258433356824,0.03165017867076342
Two-Locus Theory,0.1,42,0.0001,0.6084031911949557,0.0025096974999128407
Two-Locus Theory,0.1,42,0.00011497569953977356,0.6086060505267435,0.0025092055864109433
Two-Locus Theory,0.1,42,0.00013219411484660288,0.6081617394418931,0.0025102826568278026
Two-Locus Theory,0.1,42,0.0001519911082952933,0.6079606216024225,0.002510769783374426
Two-Locus Theory,0.1,42,0.0001747528400007683,0.6080845755799604,0.0025104695852704857
Two-Locus Theory,0.1,42,0.00020092330025650479,0.6083220358730098,0.0025098942204987698
Two-Locus Theory,0.1,42,0.00023101297000831605,0.6084786894239518,0.002509514454715308
Two-Locus Theory,0.1,42,0.00026560877829466864,0.6081707806564169,0.0025102607521408048
Two-Locus Theory,0.1,42,0.0003053855508833416,0.6079219803934914,0.002510863346787212
Two-Locus Theory,0.1,42,0.0003511191734215131,0.6074477790661629,0.0025120107804384685
Two-Locus Theory,0.1,42,0.0004037017258596554,0.6072670471614944,0.0025124477272550844
Two-Locus Theory,0.1,42,0.0004641588833612782,0.6076087695107829,0.00251162138806307
Two-Locus Theory,0.1,42,0.0005336699231206312,0.6070134692904621,0.00251306044305651
Two-Locus Theory,0.1,42,0.0006135907273413176,0.6074165015786854,0.002512086413255337
Two-Locus Theory,0.1,42,0.0007054802310718645,0.6067027129530602,0.002513810765719107
Two-Locus Theory,0.1,42,0.0008111308307896872,0.6068403656348373,0.002513478477696383
Two-Locus Theory,0.1,42,0.0009326033468832199,0.606997669353313,0.0025130986067579218
Two-Locus Theory,0.1,42,0.0010722672220103231,0.6061983023932387,0.0025150273734115373
Two-Locus Theory,0.1,42,0.0012328467394420659,0.6055291037750535,0.0025166389717732837
Two-Locus Theory,0.1,42,0.0014174741629268048,0.6045751070780312,0.0025189315789321985
