scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
IBDNeUK10K,0.0,3.0,0.03743874994176213,105366355.76553826,10755.2256671284,10000.0,2688.8064167821,20000,42
IBDNeUK10K,0.0,3.07,0.034881664724867305,103769161.27217649,10635.538754891384,10000.0,2658.884688722846,20000,42
IBDNeUK10K,0.0,3.14,0.0440265516270469,105855116.43002188,10730.21293376029,10000.0,2682.5532334400723,20000,42
IBDNeUK10K,0.0,3.21,0.05189106005086158,105352061.4104245,10717.230208374885,10000.0,2679.3075520937214,20000,42
IBDNeUK10K,0.0,3.28,0.07444462430521975,104390551.38969754,10671.893279268303,10000.0,2667.9733198170757,20000,42
IBDNeUK10K,0.0,3.34,0.0839401052599982,104648733.92004839,10644.036720711487,10000.0,2661.0091801778717,20000,42
IBDNeUK10K,0.0,3.41,0.11750514387765135,106154159.98353915,10760.988434892635,10000.0,2690.247108723159,20000,42
IBDNeUK10K,0.0,3.48,0.13214675851403182,107817725.59084208,10651.52671132894,10000.0,2662.881677832235,20000,42
IBDNeUK10K,0.0,3.55,0.15312630738560623,103341129.98206292,10748.70747977536,10000.0,2687.17686994384,20000,42
IBDNeUK10K,0.0,3.62,0.19614461096899558,110451469.43664204,10833.865653351588,10000.0,2708.466413337897,20000,42
IBDNeUK10K,0.0,3.69,0.21070714931579815,107342614.96409628,10606.0734072552,10000.0,2651.5183518138,20000,42
IBDNeUK10K,0.0,3.76,0.24868230325208437,101722949.63489611,10575.81675968475,10000.0,2643.9541899211877,20000,42
IBDNeUK10K,0.0,3.83,0.29918422126169614,103697963.93500261,10603.874760537004,10000.0,2650.968690134251,20000,42
IBDNeUK10K,0.0,3.9,0.3459815636562445,106536969.88896431,10796.168468671938,10000.0,2699.0421171679845,20000,42
IBDNeUK10K,0.0,3.97,0.36581173352225926,106157422.66641128,10793.469270350937,10000.0,2698.3673175877343,20000,42
IBDNeUK10K,0.0,4.03,0.3855490268428187,104257357.49532622,10633.363719734582,10000.0,2658.3409299336454,20000,42
IBDNeUK10K,0.0,4.1,0.4520767679506473,113130945.27503228,10840.19746773897,10000.0,2710.0493669347425,20000,42
IBDNeUK10K,0.0,4.17,0.499039182218184,105124043.3671711,10736.491339171596,10000.0,2684.122834792899,20000,42
IBDNeUK10K,0.0,4.24,0.5218229855021748,108507980.16541822,10816.90456614244,10000.0,2704.22614153561,20000,42
IBDNeUK10K,0.0,4.31,0.5782459279475265,109341613.84263025,10845.028811706767,10000.0,2711.2572029266917,20000,42
IBDNeUK10K,0.0,4.38,0.6121370382834197,106861701.81599402,10818.297884457234,10000.0,2704.5744711143084,20000,42
IBDNeUK10K,0.0,4.45,0.6587438569314612,105178463.8823755,10665.259117635176,10000.0,2666.314779408794,20000,42
IBDNeUK10K,0.0,4.52,0.6953795614837031,103055670.10717416,10663.848607244345,10000.0,2665.962151811086,20000,42
IBDNeUK10K,0.0,4.59,0.7436741933849237,108274956.32106575,10881.02384249254,10000.0,2720.255960623135,20000,42
IBDNeUK10K,0.0,4.66,0.7714223363236973,108062830.36985517,10746.941019709482,10000.0,2686.7352549273705,20000,42
IBDNeUK10K,0.0,4.72,0.7932747166979184,104532786.02681288,10603.59893960247,10000.0,2650.8997349006177,20000,42
IBDNeUK10K,0.0,4.79,0.8022532775686425,109421316.62407559,10870.700968936348,10000.0,2717.675242234087,20000,42
IBDNeUK10K,0.0,4.86,0.8384613943768953,103217283.92074265,10677.67896996384,10000.0,2669.41974249096,20000,42
IBDNeUK10K,0.0,4.93,0.8488293597268199,105078843.80655119,10713.378117465494,10000.0,2678.3445293663735,20000,42
IBDNeUK10K,0.0,5.0,0.8739661215374556,106540428.71048565,10696.960547290057,10000.0,2674.240136822514,20000,42
IBDNeUK10K,233.0,3.0,0.03436270680081703,103401646.73936096,10518.551516608553,10000.0,2629.6378791521383,20000,42
IBDNeUK10K,233.0,3.07,0.04170609579224267,107033962.0041391,10641.147607729188,10000.0,2660.286901932297,20000,42
IBDNeUK10K,233.0,3.14,0.05517899329291247,107039973.73327206,10570.662643529517,10000.0,2642.665660882379,20000,42
IBDNeUK10K,233.0,3.21,0.08504765298337871,103828982.47189005,10395.769629458093,10000.0,2598.942407364523,20000,42
IBDNeUK10K,233.0,3.28,0.09088866366425696,104620392.34205334,10518.25017703138,10000.0,2629.562544257845,20000,42
IBDNeUK10K,233.0,3.34,0.08885877588923843,105070586.50839964,10547.331479148224,10000.0,2636.832869787056,20000,42
IBDNeUK10K,233.0,3.41,0.1183262955890437,103928497.03243995,10469.769983257289,10000.0,2617.4424958143222,20000,42
IBDNeUK10K,233.0,3.48,0.14093443109785173,105224356.12908767,10558.833616712778,10000.0,2639.7084041781945,20000,42
IBDNeUK10K,233.0,3.55,0.17196906830640346,104453532.85656896,10489.332922060328,10000.0,2622.333230515082,20000,42
IBDNeUK10K,233.0,3.62,0.1988346645962545,108775837.03226092,10695.39241372903,10000.0,2673.8481034322576,20000,42
IBDNeUK10K,233.0,3.69,0.22425407647629458,107526673.23170432,10686.439696784111,10000.0,2671.609924196028,20000,42
IBDNeUK10K,233.0,3.76,0.262187469108752,104692151.96491896,10624.189751567375,10000.0,2656.047437891844,20000,42
IBDNeUK10K,233.0,3.83,0.3021520821425191,107617709.35230081,10653.121454557779,10000.0,2663.2803636394447,20000,42
IBDNeUK10K,233.0,3.9,0.3385669112170895,109702740.47090073,10557.94194388277,10000.0,2639.4854859706925,20000,42
IBDNeUK10K,233.0,3.97,0.37376723258491495,102256550.92780383,10492.487959598442,10000.0,2623.1219898996105,20000,42
IBDNeUK10K,233.0,4.03,0.40689333164660846,107324191.84162535,10512.08392042799,10000.0,2628.0209801069973,20000,42
IBDNeUK10K,233.0,4.1,0.4590276156153541,106521539.0567952,10599.423301403325,10000.0,2649.8558253508313,20000,42
IBDNeUK10K,233.0,4.17,0.5002077780104872,108760646.45483789,10650.525809324383,10000.0,2662.6314523310957,20000,42
IBDNeUK10K,233.0,4.24,0.5335291798018518,106024003.42537324,10579.51578216223,10000.0,2644.8789455405577,20000,42
IBDNeUK10K,233.0,4.31,0.5863622236034118,105210324.5614143,10581.597645043747,10000.0,2645.3994112609366,20000,42
IBDNeUK10K,233.0,4.38,0.6180777108739891,105402583.57774416,10608.503317395245,10000.0,2652.1258293488113,20000,42
IBDNeUK10K,233.0,4.45,0.6504719074426147,103370196.3940191,10534.444740645675,10000.0,2633.6111851614187,20000,42
IBDNeUK10K,233.0,4.52,0.6991556890703781,104131039.9252302,10445.694223811426,10000.0,2611.4235559528565,20000,42
IBDNeUK10K,233.0,4.59,0.7198382183394354,107765380.04411191,10596.016160691897,10000.0,2649.0040401729743,20000,42
IBDNeUK10K,233.0,4.66,0.7655178047670024,107383368.16468959,10559.25300984967,10000.0,2639.8132524624175,20000,42
IBDNeUK10K,233.0,4.72,0.7870567477768122,106580281.68683493,10602.300001067984,10000.0,2650.575000266996,20000,42
IBDNeUK10K,233.0,4.79,0.8144784626278649,104930187.66419624,10598.083720681781,10000.0,2649.5209301704454,20000,42
IBDNeUK10K,233.0,4.86,0.8342201887809579,106892161.22706504,10650.686321483938,10000.0,2662.6715803709844,20000,42
IBDNeUK10K,233.0,4.93,0.8555029810033352,103545656.68422088,10535.945961882773,10000.0,2633.9864904706933,20000,42
IBDNeUK10K,233.0,5.0,0.871859213727711,107129900.94964029,10603.044579212108,10000.0,2650.761144803027,20000,42
IBDNeUK10K,1500.0,3.0,0.017422299747283203,102670388.83653758,11699.613014060144,10000.0,2924.903253515036,20000,42
IBDNeUK10K,1500.0,3.07,0.014465344340765542,108104460.3299657,11857.962191205419,10000.0,2964.4905478013548,20000,42
IBDNeUK10K,1500.0,3.14,0.030188712732777005,109189972.94339639,11883.089603642145,10000.0,2970.7724009105364,20000,42
IBDNeUK10K,1500.0,3.21,0.04582026745970869,104116263.05629146,11667.571903108936,10000.0,2916.892975777234,20000,42
IBDNeUK10K,1500.0,3.28,0.04410495916421152,109560060.75104377,11934.46190651388,10000.0,2983.61547662847,20000,42
IBDNeUK10K,1500.0,3.34,0.060591975278830076,105938012.63996126,11881.594782407425,10000.0,2970.398695601856,20000,42
IBDNeUK10K,1500.0,3.41,0.07751732874772692,107103127.00473213,11786.726104785326,10000.0,2946.6815261963316,20000,42
IBDNeUK10K,1500.0,3.48,0.08885588879955728,105706421.61878641,11812.356054872213,10000.0,2953.089013718053,20000,42
IBDNeUK10K,1500.0,3.55,0.1149552471940689,105602488.62553425,11896.054948951194,10000.0,2974.0137372377985,20000,42
IBDNeUK10K,1500.0,3.62,0.14718885324532396,105283367.51114935,11764.602624847308,10000.0,2941.150656211827,20000,42
IBDNeUK10K,1500.0,3.69,0.16453829218421562,108919474.5372772,11951.517941614306,10000.0,2987.8794854035764,20000,42
IBDNeUK10K,1500.0,3.76,0.19547719564845567,106150778.7141191,11835.113488479734,10000.0,2958.7783721199335,20000,42
IBDNeUK10K,1500.0,3.83,0.24958571553979864,104903482.85830998,11790.436728707864,10000.0,2947.609182176966,20000,42
IBDNeUK10K,1500.0,3.9,0.28740389687047885,106381105.73431072,11812.379693260502,10000.0,2953.0949233151255,20000,42
IBDNeUK10K,1500.0,3.97,0.33212635358084397,104029310.17315438,11780.599779405306,10000.0,2945.1499448513264,20000,42
IBDNeUK10K,1500.0,4.03,0.3699383701440604,105707449.20878546,11746.584314551419,10000.0,2936.6460786378548,20000,42
IBDNeUK10K,1500.0,4.1,0.4257281521563421,104868568.7523694,11801.87925836417,10000.0,2950.4698145910425,20000,42
IBDNeUK10K,1500.0,4.17,0.4434930820955184,106116556.37190114,11759.664308342048,10000.0,2939.916077085512,20000,42
IBDNeUK10K,1500.0,4.24,0.49859340423496445,102419715.38625653,11691.11662404612,10000.0,2922.77915601153,20000,42
IBDNeUK10K,1500.0,4.31,0.5349562395478635,108897979.79107392,11902.818711031408,10000.0,2975.704677757852,20000,42
IBDNeUK10K,1500.0,4.38,0.5827307831324018,107960294.7588227,11831.692155624818,10000.0,2957.9230389062045,20000,42
IBDNeUK10K,1500.0,4.45,0.6407398956590749,108115086.55555552,11876.059865013465,10000.0,2969.0149662533663,20000,42
IBDNeUK10K,1500.0,4.52,0.659483192833461,106493891.9328504,11849.236190070269,10000.0,2962.3090475175673,20000,42
IBDNeUK10K,1500.0,4.59,0.6914492405650668,107019086.16060624,11836.707876928815,10000.0,2959.1769692322036,20000,42
IBDNeUK10K,1500.0,4.66,0.7180919216504246,106219421.09343645,11712.099448244957,10000.0,2928.024862061239,20000,42
IBDNeUK10K,1500.0,4.72,0.7726121063157065,108315954.27609248,11841.79838645949,10000.0,2960.4495966148725,20000,42
IBDNeUK10K,1500.0,4.79,0.7939130322984466,108358242.24265635,11867.578813916609,10000.0,2966.894703479152,20000,42
IBDNeUK10K,1500.0,4.86,0.8118743962808321,104574951.79287893,11695.208239788552,10000.0,2923.802059947138,20000,42
IBDNeUK10K,1500.0,4.93,0.832113226922123,105496341.26279916,11840.881555269041,10000.0,2960.2203888172603,20000,42
IBDNeUK10K,1500.0,5.0,0.8675660731914093,106158005.95149286,11859.28392920853,10000.0,2964.8209823021325,20000,42
